YEAR,Germany,Austria,Italy,Spain,Sweden,France,Norway,Greece,Netherlands,Switzerland,Finland,Belgium,Iceland,United Kingdom,Ireland,Denmark,Frontex,Hungary,Bulgaria,Luxembourg,Poland,Malta,Monitor(s),Portugal,Romania,Czech Republic,Slovenia,Cyprus,Lithuania,Slovakia,Latvia,Estonia,Albania,Croatia,MSNAME
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367.35,0,0,0,0,0,0,0,0,Czech Republic
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11462.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estonia
2011,0,0,0,0,0,0,0,0,0,0,457087.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland
2011,0,0,0,0,0,505140.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47336.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frontex
2011,809804.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
2011,0,0,0,0,0,0,0,4759.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greece
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6760.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hungary
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iceland
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538568.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland
2011,0,0,382364.57999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.82,0,0,0,Latvia
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lithuania
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19180.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxembourg
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9499.470000000001,0,0,0,0,0,0,0,0,0,0,0,0,Malta
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monitor(s)
2011,0,0,0,0,0,0,0,0,735572.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Netherlands
2011,0,0,0,0,0,0,549855.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16457.96,0,0,0,0,0,0,0,0,0,0,0,0,0,Poland
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33574.87,0,0,0,0,0,0,0,0,0,0,Portugal
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romania
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.79,0,0,0,0,Slovakia
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovenia
2011,0,0,0,1565609.1199999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain
2011,0,0,0,0,846102.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sweden
2011,0,0,0,0,0,0,0,0,0,99668.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,433648.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania
2012,0,1650541.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria
2012,0,0,0,0,0,0,0,0,0,0,0,1502.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bulgaria
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Croatia
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.81,0,0,0,0,0,0,0,0,Czech Republic
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estonia
2012,0,0,0,0,0,0,0,0,0,0,155876.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland
2012,0,0,0,0,0,207918.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44545.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frontex
2012,991195.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
2012,0,0,0,0,0,0,0,12636.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greece
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3118.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hungary
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iceland
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178959.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ireland
2012,0,0,806017.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.76,0,0,0,Latvia
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lithuania
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxembourg
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5864.139999999999,0,0,0,0,0,0,0,0,0,0,0,0,Malta
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monitor(s)
2012,0,0,0,0,0,0,0,0,312044.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Netherlands
2012,0,0,0,0,0,0,646892.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15007.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Poland
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5565.46,0,0,0,0,0,0,0,0,0,0,Portugal
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6042.72,0,0,0,0,0,0,0,0,0,Romania
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovakia
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovenia
2012,0,0,0,1490252.1400000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain
2012,0,0,0,0,813169.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sweden
2012,0,0,0,0,0,0,0,0,0,31809.440000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,18478.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania
2013,0,1184148.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgium
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45803.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bulgaria
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972.25,Croatia
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Czech Republic
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denmark
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842.24,0,0,Estonia
2013,0,0,0,0,0,0,0,0,0,0,168602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finland
2013,0,0,0,0,0,195695.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34380.090000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frontex
2013,854585.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greece
